latitude,longitude,name,address
22.218803,114.214447,赤柱大潭村公廁,赤柱大潭村近香港航海學校
22.200494,114.213222,赤柱大街公廁,赤柱八間村近赤柱大街頭
22.230683,114.253133,石澳村公廁,石澳村近石澳後灘污水廠
22.247569,114.154864,湖南街公廁,湖南街近香港仔巴士總站
22.244489,114.155397,鴨脷洲市政大廈公廁,鴨脷洲洪聖街8號鴨脷洲市政大廈
22.237969,114.154225,利樂街公廁,鴨脷洲利樂街及利榮街交界
22.242947,114.164544,深灣道公廁,黃竹坑深灣道近水警警處
22.219156,114.212256,赤柱市政大廈公廁,赤柱市場道赤柱市政大廈
22.217711,114.212497,赤柱海濱公廁,赤柱海濱
22.398531,113.978983,井頭中村公廁,屯門井頭中村
22.397083,113.969497,建隆街公廁,屯門建隆街（近石排頭遊樂場）
22.39864,113.96997,青楊街公廁,屯門青楊街(公眾停車場側）
22.372694,113.965319,屯門碼頭公廁,屯門碼頭
22.428881,113.991908,鍾屋村公廁,鍾屋村
22.422511,113.982942,青磚圍公廁,青磚圍
22.312608,114.169314,上海街/窩打老道公廁,上海街與窩打老道交界
22.309447,114.170244,街巿街公廁及浴室,街市街1號
22.308717,114.169314,油麻地街巿公廁,甘肅街20號油麻地街市
22.308247,114.171828,加士居道公廁,加士居道與彌敦逍交界普慶廣場側
22.307353,114.168983,炮台街公廁,炮台街42號
22.306422,114.170644,白加士街公廁及浴室,白加士街107號
22.305483,114.168189,佐敦道公廁,佐敦道佐治五世公園
22.302033,114.17835,科學館道公廁,科學館道1號康宏廣場
22.295333,114.173294,中間道多層停車場公廁,中間道15號中間道多層停車場
22.293444,114.169053,尖沙咀碼頭公廁,尖沙咀碼頭
22.302269,114.175467,金巴利道尿廁,金巴利道與柯士甸路交界
22.296472,114.175825,尖沙咀東公共運輸交匯處公廁,尖沙咀東公共運輸交匯處巴士總站
22.418822,113.980025,新慶村公廁,新慶村
22.317114,114.171731,洗衣街公園公廁,洗衣街公園
22.325181,114.170661,洗衣街公廁,洗衣街188號
22.320753,114.167419,旺角道公廁,上海街661B，上海街與旺角道交界
22.318839,114.160656,博文街公廁,深旺道1號奧運站
22.316989,114.168983,砵蘭街公廁,砵蘭街193號
22.317883,114.167567,奶路臣街公廁,廣東道1024號
